id,title,link,difficulty,likes,ac,tags
1,Two Sum,https://leetcode.com/problems/two-sum,1,54609,51.60%,[1]
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,2,38530,34.40%,"[1, 3, 2]"
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray,2,33051,50.50%,"[1, 2, 7]"
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water,3,30410,60.50%,"[1, 2, 7, 1, 1]"
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,1,29779,53.50%,"[1, 7]"
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers,2,29758,42.10%,"[1, 8, 4]"
15,3Sum,https://leetcode.com/problems/3sum,2,29705,34.00%,"[1, 2]"
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring,2,28480,33.50%,"[3, 7]"
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water,2,27954,54.70%,"[1, 2, 2]"
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays,3,27368,39.10%,"[1, 2, 2]"
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses,1,23162,40.40%,"[3, 1]"
287,Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number,2,22203,59.40%,"[1, 2, 2, 8]"
200,Number of Islands,https://leetcode.com/problems/number-of-islands,2,21849,58.40%,"[1, 6, 6, 2]"
56,Merge Intervals,https://leetcode.com/problems/merge-intervals,2,21512,46.90%,[1]
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs,1,21217,52.80%,"[8, 7]"
238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self,2,21211,65.20%,[1]
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists,1,20954,63.80%,"[1, 4]"
560,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k,2,20635,43.30%,[1]
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list,1,20499,75.50%,"[1, 4]"
198,House Robber,https://leetcode.com/problems/house-robber,2,20386,50.70%,"[1, 7]"
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses,2,20367,74.00%,"[3, 7, 4]"
300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence,2,20301,54.80%,"[1, 2, 7]"
146,LRU Cache,https://leetcode.com/problems/lru-cache,2,19982,42.00%,"[1, 1, 1]"
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,2,19855,43.80%,"[1, 2]"
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence,2,19166,47.30%,"[1, 6]"
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists,3,18894,51.90%,"[1, 2, 1]"
55,Jump Game,https://leetcode.com/problems/jump-game,2,18599,38.50%,"[1, 7, 2]"
46,Permutations,https://leetcode.com/problems/permutations,2,18491,77.80%,"[1, 4]"
322,Coin Change,https://leetcode.com/problems/coin-change,2,18325,43.40%,"[1, 7, 6]"
39,Combination Sum,https://leetcode.com/problems/combination-sum,2,18206,70.70%,"[1, 4]"
49,Group Anagrams,https://leetcode.com/problems/group-anagrams,2,18076,67.50%,"[1, 3]"
169,Majority Element,https://leetcode.com/problems/majority-element,1,17994,63.90%,"[1, 2]"
152,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray,2,17911,34.90%,"[1, 7]"
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number,2,17870,59.70%,"[1, 3, 4]"
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list,2,17855,43.60%,"[1, 2]"
31,Next Permutation,https://leetcode.com/problems/next-permutation,2,17649,39.20%,"[1, 2]"
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum,3,17631,46.50%,"[1, 1, 2, 1, 1]"
75,Sort Colors,https://leetcode.com/problems/sort-colors,2,17409,61.40%,"[1, 2]"
189,Rotate Array,https://leetcode.com/problems/rotate-array,2,17154,40.20%,"[1, 8, 2]"
48,Rotate Image,https://leetcode.com/problems/rotate-image,2,16907,73.50%,"[1, 8, 2]"
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring,3,16808,41.70%,"[1, 3, 2]"
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix,1,16763,42.20%,[3]
139,Word Break,https://leetcode.com/problems/word-break,2,16714,46.50%,"[1, 3, 7]"
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements,2,16680,62.70%,"[1, 2, 1]"
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array,2,16547,66.80%,"[1, 2, 1]"
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram,3,16522,43.90%,"[1, 1, 1]"
78,Subsets,https://leetcode.com/problems/subsets,2,16414,76.90%,"[1, 4, 8]"
98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree,2,16325,32.60%,"[5, 6, 5]"
62,Unique Paths,https://leetcode.com/problems/unique-paths,2,16134,64.00%,"[8, 7, 8]"
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum,3,16101,39.80%,"[7, 5, 6, 5]"
283,Move Zeroes,https://leetcode.com/problems/move-zeroes,1,16044,61.50%,"[1, 2]"
136,Single Number,https://leetcode.com/problems/single-number,1,15916,72.20%,"[1, 8]"
236,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,2,15890,61.30%,"[5, 6, 5]"
234,Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list,1,15693,51.50%,"[1, 2, 1, 4]"
207,Course Schedule,https://leetcode.com/problems/course-schedule,2,15690,46.50%,"[6, 6]"
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive,3,15651,37.60%,[1]
35,Search Insert Position,https://leetcode.com/problems/search-insert-position,1,15496,45.20%,"[1, 2]"
